Dia,Hora,Minuto,Segundo,Microsegundo,presion,flujo
2020-09-30,12,18,54,889442,0.0,0.0
2020-09-30,12,18,54,946375,0.0,0.0
2020-09-30,12,18,54,994652,0.0,0.0
2020-09-30,12,18,55,49240,0.0,0.0
2020-09-30,12,18,55,98938,0.0,0.0
2020-09-30,12,18,55,148349,0.0,0.0
2020-09-30,12,18,55,197752,0.0,0.0
2020-09-30,12,18,55,247291,0.0,0.0
2020-09-30,12,18,55,296765,0.0,0.0
2020-09-30,12,18,55,346199,0.0,0.0
2020-09-30,12,18,55,395734,0.0,0.0
2020-09-30,12,18,55,445289,0.0,0.0
2020-09-30,12,18,55,494781,0.0,0.0
2020-09-30,12,18,55,544319,0.0,0.0
2020-09-30,12,18,55,593791,0.0,0.0
2020-09-30,12,18,55,643243,0.0,0.0
2020-09-30,12,18,55,692713,0.0,0.0
2020-09-30,12,18,55,742190,0.0,0.0
2020-09-30,12,18,55,791591,0.0,0.0
2020-09-30,12,18,55,841143,0.0,0.0
2020-09-30,12,18,55,890601,0.0,0.0
2020-09-30,12,18,55,940062,0.0,0.0
2020-09-30,12,18,55,993851,19.1,47.7
2020-09-30,12,18,56,45878,19.5,49.7
2020-09-30,12,18,56,99333,18.9,51.9
2020-09-30,12,18,56,152608,18.0,53.3
2020-09-30,12,18,56,203148,18.0,55.1
2020-09-30,12,18,56,254342,15.4,56.2
2020-09-30,12,18,56,307659,11.4,57.3
2020-09-30,12,18,56,358796,6.2,57.6
2020-09-30,12,18,56,413033,-1.5,57.1
2020-09-30,12,18,56,465151,-14.0,55.3
2020-09-30,12,18,56,517733,-14.3,54.2
2020-09-30,12,18,56,569931,-35.2,50.4
2020-09-30,12,18,56,622328,-20.9,48.3
2020-09-30,12,18,56,676214,-19.0,46.1
2020-09-30,12,18,56,725903,-14.0,45.0
2020-09-30,12,18,56,776619,-12.1,43.4
2020-09-30,12,18,56,828259,-11.8,42.4
2020-09-30,12,18,56,877111,-11.0,41.2
2020-09-30,12,18,56,928783,-11.0,39.9
2020-09-30,12,18,56,977335,-9.1,38.9
2020-09-30,12,18,57,30232,-8.2,38.2
2020-09-30,12,18,57,80785,-7.7,37.6
2020-09-30,12,18,57,131189,-7.1,36.3
2020-09-30,12,18,57,182669,-6.6,35.9
2020-09-30,12,18,57,232670,-6.4,35.3
2020-09-30,12,18,57,286450,-5.4,34.5
2020-09-30,12,18,57,332704,-5.0,34.5
