Dia,Hora,Minuto,Segundo,Microsegundo
2020-07-10,15,5,33,98736
2020-07-10,15,5,33,111161
2020-07-10,15,5,33,121563
2020-07-10,15,5,33,129861
2020-07-10,15,5,33,136992
2020-07-10,15,5,33,149360
2020-07-10,15,5,33,161675
2020-07-10,15,5,33,168542
2020-07-10,15,5,33,180969
2020-07-10,15,5,33,193182
2020-07-10,15,5,33,205817
2020-07-10,15,5,33,218497
2020-07-10,15,5,33,231389
2020-07-10,15,5,33,244338
2020-07-10,15,5,33,256761
2020-07-10,15,5,33,269500
2020-07-10,15,5,33,282160
2020-07-10,15,5,33,294403
2020-07-10,15,5,33,306969
2020-07-10,15,5,33,319639
2020-07-10,15,5,33,331991
2020-07-10,15,5,33,344145
2020-07-10,15,5,33,356389
2020-07-10,15,5,33,368740
2020-07-10,15,5,33,381115
2020-07-10,15,5,33,393482
2020-07-10,15,5,33,406025
2020-07-10,15,5,33,418645
2020-07-10,15,5,33,431626
2020-07-10,15,5,33,444029
2020-07-10,15,5,33,456521
2020-07-10,15,5,33,469446
2020-07-10,15,5,33,481920
2020-07-10,15,5,33,494620
2020-07-10,15,5,33,502998
2020-07-10,15,5,33,515865
2020-07-10,15,5,33,528488
2020-07-10,15,5,33,540943
2020-07-10,15,5,33,553719
2020-07-10,15,5,33,566014
2020-07-10,15,5,33,578958
2020-07-10,15,5,33,591959
2020-07-10,15,5,33,604944
2020-07-10,15,5,33,617513
2020-07-10,15,5,33,630097
2020-07-10,15,5,33,642759
2020-07-10,15,5,33,655422
2020-07-10,15,5,33,667990
2020-07-10,15,5,33,680561
2020-07-10,15,5,33,693457
2020-07-10,15,5,33,705997
2020-07-10,15,5,33,718508
2020-07-10,15,5,33,731111
2020-07-10,15,5,33,743794
2020-07-10,15,5,33,756414
2020-07-10,15,5,33,768774
2020-07-10,15,5,33,781271
2020-07-10,15,5,33,793864
2020-07-10,15,5,33,806322
2020-07-10,15,5,33,818869
2020-07-10,15,5,33,831654
2020-07-10,15,5,33,844220
2020-07-10,15,5,33,857003
2020-07-10,15,5,33,869466
2020-07-10,15,5,33,882070
2020-07-10,15,5,33,894588
2020-07-10,15,5,33,907146
2020-07-10,15,5,33,920105
2020-07-10,15,5,33,933120
2020-07-10,15,5,33,945654
2020-07-10,15,5,33,958494
2020-07-10,15,5,33,970972
2020-07-10,15,5,33,983949
2020-07-10,15,5,33,996925
2020-07-10,15,5,34,5434
2020-07-10,15,5,34,18031
2020-07-10,15,5,34,30976
2020-07-10,15,5,34,43985
2020-07-10,15,5,34,56755
2020-07-10,15,5,34,69312
2020-07-10,15,5,34,81946
2020-07-10,15,5,34,94607
2020-07-10,15,5,34,107418
2020-07-10,15,5,34,120238
2020-07-10,15,5,34,133118
2020-07-10,15,5,34,145812
2020-07-10,15,5,34,158245
2020-07-10,15,5,34,171069
2020-07-10,15,5,34,184572
2020-07-10,15,5,34,196313
2020-07-10,15,5,34,208858
2020-07-10,15,5,34,221570
2020-07-10,15,5,34,234105
2020-07-10,15,5,34,246760
2020-07-10,15,5,34,259702
2020-07-10,15,5,34,272520
2020-07-10,15,5,34,285107
2020-07-10,15,5,34,297678
2020-07-10,15,5,34,310264
