Dia,Hora,Minuto,Segundo,Microsegundo
2020-07-09,13,42,6,686776
2020-07-09,13,42,6,699141
2020-07-09,13,42,6,709045
2020-07-09,13,42,6,718739
2020-07-09,13,42,6,733310
2020-07-09,13,42,6,743377
2020-07-09,13,42,6,759699
2020-07-09,13,42,6,777519
2020-07-09,13,42,6,796096
2020-07-09,13,42,6,803739
2020-07-09,13,42,6,816118
2020-07-09,13,42,6,828453
2020-07-09,13,42,6,840775
2020-07-09,13,42,6,853403
2020-07-09,13,42,6,865941
2020-07-09,13,42,6,878301
2020-07-09,13,42,6,890701
2020-07-09,13,42,6,903032
2020-07-09,13,42,6,915412
2020-07-09,13,42,6,927776
2020-07-09,13,42,6,940194
2020-07-09,13,42,6,952498
2020-07-09,13,42,6,964840
2020-07-09,13,42,6,977483
2020-07-09,13,42,6,989858
2020-07-09,13,42,7,2243
2020-07-09,13,42,7,14623
2020-07-09,13,42,7,27037
2020-07-09,13,42,7,39760
2020-07-09,13,42,7,52679
2020-07-09,13,42,7,65884
2020-07-09,13,42,7,78811
2020-07-09,13,42,7,91483
2020-07-09,13,42,7,104114
2020-07-09,13,42,7,116635
2020-07-09,13,42,7,129395
2020-07-09,13,42,7,141736
2020-07-09,13,42,7,156237
2020-07-09,13,42,7,168590
2020-07-09,13,42,7,181083
2020-07-09,13,42,7,193298
2020-07-09,13,42,7,205582
2020-07-09,13,42,7,217927
2020-07-09,13,42,7,230227
2020-07-09,13,42,7,242575
2020-07-09,13,42,7,254926
2020-07-09,13,42,7,267276
2020-07-09,13,42,7,280090
2020-07-09,13,42,7,293105
2020-07-09,13,42,7,305485
2020-07-09,13,42,7,318115
2020-07-09,13,42,7,330386
2020-07-09,13,42,7,342710
2020-07-09,13,42,7,355072
2020-07-09,13,42,7,367512
2020-07-09,13,42,7,379936
2020-07-09,13,42,7,392255
2020-07-09,13,42,7,404621
2020-07-09,13,42,7,416966
2020-07-09,13,42,7,429291
2020-07-09,13,42,7,441889
2020-07-09,13,42,7,454304
2020-07-09,13,42,7,466893
2020-07-09,13,42,7,479478
2020-07-09,13,42,7,491849
2020-07-09,13,42,7,504770
2020-07-09,13,42,7,517473
2020-07-09,13,42,7,530308
2020-07-09,13,42,7,542728
2020-07-09,13,42,7,555284
2020-07-09,13,42,7,567927
2020-07-09,13,42,7,580391
2020-07-09,13,42,7,592594
2020-07-09,13,42,7,604909
2020-07-09,13,42,7,617155
2020-07-09,13,42,7,629508
2020-07-09,13,42,7,641875
2020-07-09,13,42,7,654209
2020-07-09,13,42,7,666610
2020-07-09,13,42,7,678933
2020-07-09,13,42,7,691326
2020-07-09,13,42,7,703707
2020-07-09,13,42,7,716346
2020-07-09,13,42,7,728648
2020-07-09,13,42,7,740963
2020-07-09,13,42,7,753322
2020-07-09,13,42,7,765904
2020-07-09,13,42,7,778242
2020-07-09,13,42,7,790653
2020-07-09,13,42,7,803078
2020-07-09,13,42,7,815548
2020-07-09,13,42,7,828062
2020-07-09,13,42,7,840895
2020-07-09,13,42,7,854064
2020-07-09,13,42,7,866724
2020-07-09,13,42,7,879270
2020-07-09,13,42,7,891864
2020-07-09,13,42,7,904519
2020-07-09,13,42,7,917067
2020-07-09,13,42,7,930113
2020-07-09,13,42,7,942928
2020-07-09,13,42,7,955263
2020-07-09,13,42,7,967639
2020-07-09,13,42,7,979784
2020-07-09,13,42,7,992075
2020-07-09,13,42,8,4460
2020-07-09,13,42,8,16820
2020-07-09,13,42,8,29134
2020-07-09,13,42,8,41493
2020-07-09,13,42,8,54553
2020-07-09,13,42,8,67093
2020-07-09,13,42,8,79649
2020-07-09,13,42,8,92370
2020-07-09,13,42,8,105354
2020-07-09,13,42,8,118418
2020-07-09,13,42,8,130991
2020-07-09,13,42,8,143587
2020-07-09,13,42,8,156201
2020-07-09,13,42,8,168835
2020-07-09,13,42,8,180831
2020-07-09,13,42,8,193586
2020-07-09,13,42,8,206531
2020-07-09,13,42,8,219041
2020-07-09,13,42,8,231313
2020-07-09,13,42,8,243661
2020-07-09,13,42,8,256087
2020-07-09,13,42,8,269007
2020-07-09,13,42,8,282250
2020-07-09,13,42,8,294970
2020-07-09,13,42,8,307572
2020-07-09,13,42,8,320088
2020-07-09,13,42,8,332595
2020-07-09,13,42,8,345140
2020-07-09,13,42,8,357800
2020-07-09,13,42,8,371212
2020-07-09,13,42,8,382848
2020-07-09,13,42,8,395576
2020-07-09,13,42,8,407604
2020-07-09,13,42,8,419908
2020-07-09,13,42,8,432258
2020-07-09,13,42,8,444599
2020-07-09,13,42,8,457005
2020-07-09,13,42,8,469345
2020-07-09,13,42,8,481793
