Dia,Hora,Minuto,Segundo,Microsegundo
2020-07-08,19,53,39,848574
2020-07-08,19,53,39,856169
2020-07-08,19,53,39,868516
2020-07-08,19,53,39,876279
2020-07-08,19,53,39,888622
2020-07-08,19,53,39,896162
2020-07-08,19,53,39,908465
2020-07-08,19,53,39,920779
2020-07-08,19,53,39,933327
2020-07-08,19,53,39,942104
2020-07-08,19,53,39,954484
2020-07-08,19,53,39,966952
2020-07-08,19,53,39,979280
2020-07-08,19,53,39,991597
2020-07-08,19,53,40,3917
2020-07-08,19,53,40,16256
2020-07-08,19,53,40,29333
2020-07-08,19,53,40,49378
2020-07-08,19,53,40,61628
2020-07-08,19,53,40,74006
2020-07-08,19,53,40,86547
2020-07-08,19,53,40,99067
2020-07-08,19,53,40,111367
2020-07-08,19,53,40,123725
2020-07-08,19,53,40,136030
2020-07-08,19,53,40,148608
2020-07-08,19,53,40,160959
2020-07-08,19,53,40,168168
2020-07-08,19,53,40,180441
2020-07-08,19,53,40,187828
2020-07-08,19,53,40,200347
2020-07-08,19,53,40,212692
2020-07-08,19,53,40,225225
2020-07-08,19,53,40,237812
2020-07-08,19,53,40,250771
2020-07-08,19,53,40,274265
2020-07-08,19,53,40,287537
2020-07-08,19,53,40,296005
2020-07-08,19,53,40,308317
2020-07-08,19,53,40,316454
2020-07-08,19,53,40,328827
2020-07-08,19,53,40,335731
2020-07-08,19,53,40,348020
2020-07-08,19,53,40,355808
2020-07-08,19,53,40,368210
2020-07-08,19,53,40,377519
2020-07-08,19,53,40,390563
2020-07-08,19,53,40,419631
2020-07-08,19,53,40,431969
2020-07-08,19,53,40,457392
2020-07-08,19,53,40,470983
2020-07-08,19,53,40,499420
2020-07-08,19,53,40,511925
2020-07-08,19,53,40,529278
2020-07-08,19,53,40,541897
2020-07-08,19,53,40,556309
2020-07-08,19,53,40,568677
2020-07-08,19,53,40,577030
2020-07-08,19,53,40,589501
2020-07-08,19,53,40,597112
2020-07-08,19,53,40,609602
2020-07-08,19,53,40,617608
2020-07-08,19,53,40,629888
2020-07-08,19,53,40,639256
2020-07-08,19,53,40,651579
2020-07-08,19,53,40,660422
2020-07-08,19,53,40,672872
2020-07-08,19,53,40,681075
2020-07-08,19,53,40,693360
2020-07-08,19,53,40,702108
2020-07-08,19,53,40,714551
2020-07-08,19,53,40,724670
2020-07-08,19,53,40,737035
2020-07-08,19,53,40,748268
2020-07-08,19,53,40,760660
2020-07-08,19,53,40,772263
2020-07-08,19,53,40,785001
2020-07-08,19,53,40,795359
2020-07-08,19,53,40,807780
2020-07-08,19,53,40,818441
2020-07-08,19,53,40,830904
2020-07-08,19,53,40,838962
2020-07-08,19,53,40,851465
2020-07-08,19,53,40,862766
2020-07-08,19,53,40,875266
2020-07-08,19,53,40,884083
2020-07-08,19,53,40,896412
2020-07-08,19,53,40,903831
2020-07-08,19,53,40,916359
2020-07-08,19,53,40,923578
2020-07-08,19,53,40,936672
2020-07-08,19,53,40,970528
2020-07-08,19,53,40,982807
2020-07-08,19,53,40,996037
2020-07-08,19,53,41,8502
2020-07-08,19,53,41,22217
2020-07-08,19,53,41,34831
2020-07-08,19,53,41,43594
2020-07-08,19,53,41,56025
2020-07-08,19,53,41,65072
2020-07-08,19,53,41,77443
2020-07-08,19,53,41,86243
2020-07-08,19,53,41,98557
2020-07-08,19,53,41,107055
2020-07-08,19,53,41,119548
2020-07-08,19,53,41,128248
2020-07-08,19,53,41,140774
2020-07-08,19,53,41,149690
2020-07-08,19,53,41,162099
2020-07-08,19,53,41,171509
2020-07-08,19,53,41,184027
2020-07-08,19,53,41,193232
2020-07-08,19,53,41,205588
2020-07-08,19,53,41,214568
2020-07-08,19,53,41,227228
2020-07-08,19,53,41,235991
2020-07-08,19,53,41,248384
2020-07-08,19,53,41,257074
2020-07-08,19,53,41,269491
2020-07-08,19,53,41,277125
2020-07-08,19,53,41,289647
2020-07-08,19,53,41,297244
2020-07-08,19,53,41,309601
2020-07-08,19,53,41,318808
2020-07-08,19,53,41,331305
2020-07-08,19,53,41,339079
2020-07-08,19,53,41,351391
2020-07-08,19,53,41,358522
2020-07-08,19,53,41,370839
2020-07-08,19,53,41,378849
2020-07-08,19,53,41,391148
2020-07-08,19,53,41,401026
2020-07-08,19,53,41,413384
2020-07-08,19,53,41,422477
2020-07-08,19,53,41,434830
2020-07-08,19,53,41,444652
2020-07-08,19,53,41,457013
2020-07-08,19,53,41,465303
2020-07-08,19,53,41,477680
2020-07-08,19,53,41,484647
2020-07-08,19,53,41,497244
2020-07-08,19,53,41,504003
2020-07-08,19,53,41,516589
2020-07-08,19,53,41,523675
2020-07-08,19,53,41,536011
2020-07-08,19,53,41,542928
2020-07-08,19,53,41,555322
2020-07-08,19,53,41,562547
2020-07-08,19,53,41,574927
2020-07-08,19,53,41,586331
2020-07-08,19,53,41,598625
2020-07-08,19,53,41,605376
2020-07-08,19,53,41,617897
2020-07-08,19,53,41,628814
2020-07-08,19,53,41,641149
2020-07-08,19,53,41,648138
2020-07-08,19,53,41,660455
2020-07-08,19,53,41,667127
2020-07-08,19,53,41,679465
2020-07-08,19,53,41,691768
2020-07-08,19,53,41,704317
2020-07-08,19,53,41,716893
